Feature	domain	phylum	class	order	family	genus	species	ASV
62750db13263c6f0d5826c70f95c7149	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Tissierella	Unassigned_Tissierella	62750db13263c6f0d5826c70f95c7149
f42ca48ba43e3be2ecc2cf1a3dfc8107	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned_Streptomyces	f42ca48ba43e3be2ecc2cf1a3dfc8107
3b867fdf429748b50eea0081ba6333db	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unassigned_Paenibacillus	3b867fdf429748b50eea0081ba6333db
50e285e0423267270613b48edd8e61d2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unassigned_Lactobacillus	50e285e0423267270613b48edd8e61d2
c6e7225aa2072ca979f46382bcc82b5f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	Unassigned_Methyloversatilis	c6e7225aa2072ca979f46382bcc82b5f
16fea2bedf9c9bceaace93076b7fc6a9	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned_Brevundimonas	16fea2bedf9c9bceaace93076b7fc6a9
e993e951dda8115f969b9bf8f4da043b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Unassigned_Duganella	e993e951dda8115f969b9bf8f4da043b
cd1e77c9b0181c1712586eb794bf13ca	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidicella	Unassigned_Tepidicella	cd1e77c9b0181c1712586eb794bf13ca
0dcd6ce04cba424ecf88d250e23a2bd6	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	Unassigned_Selenomonas	0dcd6ce04cba424ecf88d250e23a2bd6
f035bf6873362c51bc70390d48905d4e	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned_Pseudoxanthomonas	f035bf6873362c51bc70390d48905d4e
baaa2462aecede04341d5ad47a81d4dc	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus	baaa2462aecede04341d5ad47a81d4dc
5df56c714bc5efc74ee2015c07c269c8	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unassigned_Mucilaginibacter	5df56c714bc5efc74ee2015c07c269c8
cfc57c3548cb3c8ab6cf30829a17fe4a	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Unassigned_Faecalibacterium	cfc57c3548cb3c8ab6cf30829a17fe4a
7c87bc12849410b23e45a422dbda9588	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned_Fusobacterium	7c87bc12849410b23e45a422dbda9588
e3e7e61335467a8111153069e5701360	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned_Nocardioides	e3e7e61335467a8111153069e5701360
