pathway	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz
15-anhydrofructose-degradation	0	0	0	250.67335	351.82473	1465.89045	0	0	0	561.7571	190.599553	0	79.97908	260.69878	189.40724	0	0	286.02902	0	0	0	475.65456	0	0	69.02052	1264.39747	192.33798	0	81.30989	1238.091363	182.68546	268.95847	123.39942	949.24388	1074.49115	0	0	255.43992	891.6928	403.46286	0	276.10301	0	0	0	285.04213	927.89561	0	362.60231	1017.29307	436.62801	665.3298	935.63373	767.98763	1344.58051	0	0	1791.35325	1218.3272	0	529.03981	177.49825	1298.30385	547.72663	211.32175	1365.51539	678.94458	0	0	232.5563	1084.80953	0	119.9566	329.79835	0	0	0	584.051731	308.50385	0	0	3284.87569	727.7528	0	0	1287.94529	561.34398	0	170.633	1785.747034	145.36121	0	0	2386.36243	0	203.92289	63.20368	2497.11913	172.76902	0	0	246.2104	183.577708	0
glycerol-degradation-to-butanol	4673.2561	0	2858.36223	5819.98992	5379.50235	1525.84538	5297.17601	3584.44158	4144.17809	0	4136.246417	2835.9568	1909.7685	893.8202	2483.05249	2078.55836	2123.35831	0	0	5535.04489	3605.7357	0	1818.44957	5745.65175	3725.16023	1272.26141	4854.29748	1622.412713	4153.26076	0	0	0	4541.56408	2126.41669	898.04456	3637.5248	2411.73688	0	4121.8953	6534.79896	1785.892	4198.84092	1351.56716	1366.39465	5246.79352	1500.70792	1678.67297	1797.06916	2087.83283	772.80812	6960.57705	4528.7192	959.24362	1348.97382	2433.90749	4425.6941	3337.8578	2452.5321	2562.3732	4507.34767	5721.83265	0	4357.9535	4892.6051	8318.44724	1301.059419	3723.04631	1553.7908	5984.41708	2209.6975	3829.73084	6963.09473	3087.961	0	2195.63448	8750.96716	2954.1345	0	2507.19293	4726.2431	3475.3798	1150.88963	2045.3501	2482.32093	116.15872	0	4208.08439	1030.7711	3417.9206	47.828579	5325.59871	2372.32018	1257.18797	0	3837.28687	1061.93066	611.75331	5275.06399	5697.17975	3735.4265	1589.51277	2101.0232	3144.196066	1058.39313
methyl-ketone-biosynthesis	15666.9157	3175.70955	2177.67991	2870.1015	6676.61687	12013.44068	2147.72126	1888.71095	7087.29288	2739.8663	6313.871178	8951.3953	6568.19978	5388.12777	4503.2485	1843.25863	4824.861413	5477.12548	1563.03933	2469.92973	6231.5188	3949.00229	5865.23541	2425.35623	7315.09795	7302.18277	3662.09223	8408.694616	8930.80841	7201.747918	1673.39217	6360.07134	2486.64038	9966.23716	7261.62378	8539.66333	3802.20912	7878.29637	7797.4387	7250.22363	11701.05	7792.51902	7652.30717	7978.21658	8629.33538	1411.68777	3344.92746	3462.37089	10310.36502	13154.19594	14303.37661	9634.6911	11657.7814	15632.80532	9843.39129	6956.91561	20083.22232	14082.90081	9611.5593	6768.26311	11559.92658	11740.885	9600.3041	13172.78821	11133.86008	17816.79456	11491.94984	9470.3671	9187.69153	5286.1379	3693.96444	6756.04595	6875.4539	47.98795	4364.21339	4797.97367	9844.4952	1964.003561	7005.46226	3558.41823	7440.6727	8451.1797	5502.8714	9434.40198	976.41092	8481.08378	3485.89478	5122.9839	7022.9634	6502.614952	4865.15081	5028.16072	3124.4275	14441.7994	7128.13958	2224.09607	2782.21141	17097.62459	6913.45909	8421.1492	3816.60412	8615.4164	5086.917005	4052.46167
L-12-propanediol-degradation	0	0	0	0	549.17522	1680.95993	0	0	0	0	1497.56258	0	0	662.3438	1059.18493	0	0	0	0	83.69058	0	0	0	667.5257	0	0	0	0	0	0	0	0	2310.95105	0	167.79563	0	0	0	621.3125	0	0	854.0157	2135.96572	0	0	0	0	0	1188.76172	0	0	0	1263.22355	0	0	0	424.61728	0	1072.0295	0	2560.89253	0	137.88611	0	0	0	0	0	0	0	0	0	0	0	353.34396	143.75139	0	0	0	0	0	0	0	0	0	0	1330.52418	0	0	0	0	0	0	2506.19892	0	0	0	0	0	0	0	1301.5842	868.877032	0
protein-N-glycosylation-(bacterial)	338.0096	0	34.39739	0	60.41538	0	0	76	0	0	0	105	65	0	0	0	25.090909	0	0	403.78099	0	0	27	251.22933	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	156.75499	0	0	0	30	144	0	30	51	0	0	0	0	0	0	12	310.57385	0	0	0	255.27273	0	0	0	60	240.42574	0	0	163.6364	0	0	0	259.64263	254.2726	0	0	236	0	0	0	511.38909	117	0	0	0	0	0	0	0	123	0	0	0	44	0	0	0	0	0	29.80123	0	0	0	0	197
4-coumarate-degradation-(anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321.25331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.873225	41.66631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-23-diacetamido-23-dideoxy-&alpha;-D-mannuronate-biosynthesis	423.1724	131.41202	183.9075	641.66808	0	185.24107	0	193.13384	212.58326	237.8049	0	372.7028	198.18994	241.9254	205.29505	127.54582	226.583558	273.80476	0	289.7418	158.9887	87.83462	234.89996	141.16149	184.16715	492.48824	55.04154	359.097742	313.07876	487.83036	0	163.15024	409.36634	509.31421	0	321.1852	0	452.59985	240.8636	985.07148	346.7813	901.45235	104.60842	600.90803	290.70369	1012.12564	190.01351	246.70091	132.71005	680.01948	266.99771	333.2563	0	792.12181	399.84172	149.25095	567.11059	975.6176	308.7649	566.77002	150.1905	770.22669	0	380.74464	645.88167	982.28412	448.81057	232.3045	215.9199	165.6908	267.10521	516.10732	0	0	227.51953	866.44268	565.1487	260.451518	0	558.41025	534.4854	1152.61288	537.4694	0	0	863.55612	134.89809	239.9346	211.0179	842.784711	0	309.53504	202.7804	659.78129	930.77029	0	183.01225	703.99553	255.197	748.2364	373.44024	0	0	198.56996
fatty-acid-salvage	34420.6784	13647.14533	8344.16349	18949.73326	22125.31539	34859.84377	13440.2146	5684.02129	18091.23346	22553.6925	22372.75491	24112.2963	16434.70725	28076.53476	14458.67359	6625.91152	13093.89443	18773.67664	47642.20803	3327.34742	12902.0952	23732.01569	23033.59125	3946.72026	14811.16509	42524.99533	13687.44348	14471.33654	23425.23857	53550.50224	24314.87299	9383.51543	20699.56475	40897.28961	29409.27603	25383.06695	18603.0664	31511.53965	23265.5649	24158.94733	29233.09	45574.54016	30760.35669	19539.30591	19759.66716	38397.04017	24171.74839	15844.47234	26311.4241	37849.76646	26964.8782	27195.8699	27593.23691	53569.56744	30581.02763	10645.90981	27398.92433	49408.40916	28775.4097	13470.37612	23855.38839	88084.84297	28645.78758	25601.22623	22055.55537	62451.31204	30189.24419	18002.3795	40892.65685	11228.4674	16046.5847	15954.5988	18165.0857	82825.04045	10526.70367	26220.69748	28086.4309	15139.52561	15554.64042	17771.78703	20591.3611	48303.28499	21702.209	27213.8189	21104.14634	38575.70206	15271.91539	21727.4074	24474.2326	35889.01899	11040.70357	20000.58601	13847.50247	65242.82856	38358.50803	8341.02364	10977.50372	67695.67496	19488.84648	20443.985	19621.66477	33896.0091	24157.73129	11631.87031
vanillin-and-vanillate-degradation-I	683.7498	979.7783	0	676.33489	565.2543	1128.61931	0	195.56536	294.17866	543.4187	758.323756	1585.3237	0	530.86653	573.26033	0	226.152455	502.65319	31.99432	161.99761	0	696.84098	492.86128	0	0	1110.79936	114.95565	458.685959	275.37474	1273.693265	329.83177	271.2605	0	1341.60915	323.10181	1527.50161	468.71439	1024.56263	671.9788	1107.9902	806.5485	2237.04678	988.54932	848.79837	382.11965	2659.61956	128.18775	497.25027	836.35132	1274.40022	427.43173	770.498	1756.25949	1248.56218	617.88203	0	885.37893	1210.32206	1133.6281	641.70335	360.66411	632.35442	428.01399	901.29187	1037.20322	1578.040363	1276.15963	446.1075	876.32534	627.9584	442.99963	602.68112	0	0	0	820.23767	1196.1821	604.468677	180.11602	995.40222	693.7491	1947.62162	1159.9549	1451.56494	0	1644.31642	823.51664	965.8775	650.9888	2120.712947	489.71892	1265.1552	0	2392.02864	1877.96546	0	0	2243.20537	1176.73813	765.1814	175.50363	1245.7254	1547.318641	0
vanillin-and-vanillate-degradation-II	762.9199	1082.43104	0	754.04414	627.83849	1238.04115	0	217.3438	328.23298	598.0142	840.416025	1749.8565	0	591.62704	633.8554	0	252.468829	554.73218	35.92141	177.82544	0	766.13212	550.0135	0	0	1197.34499	128.76945	508.32658	307.4375	1398.494729	368.93735	301.73708	0	1457.76356	362.07026	1691.48411	523.00187	1101.05558	748.6683	1230.95413	897.3295	2423.83598	1101.6139	939.76609	426.67547	2902.78685	143.98438	550.88662	930.43243	1380.68479	475.82255	858.2783	1944.79947	1369.09021	690.00622	0	980.98464	1328.76872	1258.7571	709.17	402.79426	709.24163	478.67681	1000.09202	1149.85432	1746.118823	1417.2035	495.5788	975.44096	691.787	495.04967	668.56372	0	0	0	912.7008	1324.6383	667.134142	201.27254	1098.77283	769.2363	2115.14777	1284.182	1607.62793	0	1807.77581	910.88831	1066.6786	725.9248	2336.792203	542.01791	1399.4168	0	2610.51869	2079.85692	0	0	2445.50427	1288.33787	848.3796	196.69632	1349.7705	1700.33551	0
